L3,Verbs,Nouns,,,
Bill Explanation,Understand/Go over/Questions/inquiry/enquiry/assistance/inquire/enquire/explain/read/view/see/fetch,Bill,100,"(understand|go over|question|inquire|assist|explain|read|view|see|fetch)[a-z\s]{0,20}(bill)|(bill)[a-z\s]{0,20}(understand|go over|question|inquire|assist|explain|read|view|see|fetch)",
Bill Explanation,Understand/Go over/Questions/inquiry/enquiry/assistance/inquire/enquire/explain/read/view/see/fetch,New Bill,,,
Credit Request/ Get Waiver,Waive,Fee,"except waive ,credit, use adj,charge,fee,credit charges,credit request and balance-200","(waive|appl|told|den|give|issue|receive|get|refund|take off|know about|courtes|return|reverse|incentive credit|credit charge|credit|have|move|offset|adjust
)[a-z\s]{0,20}(fee|credit|charge|bill credit|incentive credit|adjustment|credit charge|bill|credit request|credit balance)|(fee|credit|charge|bill credit|incentive credit|adjustment|credit charge|bill|credit request|credit balance)[a-z\s]{0,20}(waive|appl|told|den|give|issue|receive|get|refund|take off|know about|courtes|return|reverse|incentive credit|credit charge|credit|have|move|offset|adjust
)",
Credit Request/ Get Waiver,apply/told/deny/give/issue/receive/get,credit,,,
Credit Request/ Get Waiver,refund,charge,,,
Credit Request/ Get Waiver,Taken off,charge,,,
Credit Request/ Get Waiver,Waive,Charges,,,
Credit Request/ Get Waiver,Know About,Credit,,,
Credit Request/ Get Waiver,courtesy,Credit,,,
Credit Request/ Get Waiver,apply/told/deny/give/issue/receive/get,Bill Credit,,,
Credit Request/ Get Waiver,refund/return/reverse,charge,,,
Credit Request/ Get Waiver,refund/return/reverse,Credit,,,
Credit Request/ Get Waiver,Incentive Credit,Incentive Credit,,,
Credit Request/ Get Waiver,Apply/issue,Adjustments,,,
Credit Request/ Get Waiver,Applied/Issue/get,Credit,,,
Credit Request/ Get Waiver,Credit charges,Credit charges,,,
Credit Request/ Get Waiver,Credit,Bill,,,
Credit Request/ Get Waiver,Have/get,credit request,,,
Credit Request/ Get Waiver,move,credit balance,,,
Credit Request/ Get Waiver,Offset,credit,,,
Credit Request/ Get Waiver,Waive/adjust/credit,#specificcharge,,,
query - international plan,International package,International package,200,"(international package|travel|use|take|canadian plan|international carrier|international call|call|international feature|global data package|mexico plan|global rate|coverage|know)[a-z\s]{0,20}(international package|country|mexico|canada|outside us|abroad|cruise|canadian plan|international carrier|international call|international|international feature|global data package|mexico plan|global rate|coverage|travel destination|international plan)|(international package|country|mexico|canada|outside us|abroad|cruise|canadian plan|international carrier|international call|international|international feature|global data package|mexico plan|global rate|coverage|travel destination|international plan)[a-z\s]{0,20}(international package|travel|use|take|canadian plan|international carrier|international call|call|international feature|global data package|mexico plan|global rate|coverage|know)",
query - international plan,travel,country,,,
query - international plan,travel,mexico,,,
query - international plan,travel,canada,,,
query - international plan,travel,outside US,,,
query - international plan,use,outside US,,,
query - international plan,travel,abroad,,,
query - international plan,take,cruise,,,
query - international plan,canadian plan,canadian plan,,,
query - international plan,international carrier,international carrier,,,
query - international plan,international call,international call,,,
query - call international,calling,international,,,
query - international plan,international feature,international feature,,,
query - international plan,global data package,global data package,,,
query - international plan,mexico plan,mexico plan,,,
query - international plan,global rate,global rate,,,
query - international plan,coverage,coverage + travel destination,,,
query - international plan,Know,international + plan,,,
Sim card Trouble,issue/ not working/error,sim card,,,"(not work|error|issue)[a-z\s]{0,20}(esim| sim card|simcard)|(esim| sim card|simcard)[a-z\s]{0,20}(not work|error|issue)"
Sim card Trouble,not working,E sim card,,,
unadjustable charge adjustment_,unadjustable,Charge Adjustment,100,"(unadjustable)[a-z\s]{0,20}(charge adjustment|charge|adjustment)|(charge adjustment|charge|adjustment)[a-z\s]{0,20}(unadjustable)",
unadjustable charge adjustment_,unadjustable,charge,,,
unadjustable charge adjustment_,unadjustable,adjustment,,,
Add Service features,Add/Get/Subscribe/start/subscription,#Features,100,"(add|get|subscribe|start)[a-z\s]{0,20}(vz smart famil|voicemail|hotspot|ringtone|visual voice|verizon cloud|mobile protection|caller id|call filter|google play pass|alexa|disne plus|disne|hulu|verizon roadside assitance|apple music|disney bundle|vz hum|message block|vz navigator|famil locator|espn|apple arcade|verizon home device protect|care smart app|share name id|verizon famil money|verizon visa card|discover|youtube tv|smart locator hub|smart home|icloud|peloton|netflix|plus play|play|ae networks|amc|live nation veep|hulu|ww internation|sling tv|tech coach|call and message block|equipment coverage|mobile secure|paramount|iptv|number lock|verizon mobile protect|total equipment coverage|share number|walmart|hd streaming plus|gaming|xbox|wireless phonepProtect|nfl sunday ticket
)|(vz smart famil|voicemail|hotspot|ringtone|visual voice|verizon cloud|mobile protection|caller id|call filter|google play pass|alexa|disne plus|disne|hulu|verizon roadside assitance|apple music|disney bundle|vz hum|message block|vz navigator|famil locator|espn|apple arcade|verizon home device protect|care smart app|share name id|verizon famil money|verizon visa card|discover|youtube tv|smart locator hub|smart home|icloud|peloton|netflix|plus play|play|ae networks|amc|live nation veep|hulu|ww internation|sling tv|tech coach|call and message block|equipment coverage|mobile secure|paramount|iptv|number lock|verizon mobile protect|total equipment coverage|share number|walmart|hd streaming plus|gaming|xbox|wireless phonepProtect|nfl sunday ticket
)[a-z\s]{0,20}(add|get|subscribe|start)",
Remove Service features,remove/disconnect/discontinue/unsubscribe/cancel/delete/drop,#Features,100,"(remove|disconnect|discontinue|unsubscribe|cancel|delete|drop)[a-z\s]{0,20}(vz smart famil|voicemail|hotspot|ringtone|visual voice|verizon cloud|mobile protection|caller id|call filter|google play pass|alexa|disne plus|disne|hulu|verizon roadside assitance|apple music|disney bundle|vz hum|message block|vz navigator|famil locator|espn|apple arcade|verizon home device protect|care smart app|share name id|verizon famil money|verizon visa card|discover|youtube tv|smart locator hub|smart home|icloud|peloton|netflix|plus play|play|ae networks|amc|live nation veep|hulu|ww internation|sling tv|tech coach|call and message block|equipment coverage|mobile secure|paramount|iptv|number lock|verizon mobile protect|total equipment coverage|share number|walmart|hd streaming plus|gaming|xbox|wireless phonepProtect|nfl sunday ticket
)|(vz smart famil|voicemail|hotspot|ringtone|visual voice|verizon cloud|mobile protection|caller id|call filter|google play pass|alexa|disne plus|disne|hulu|verizon roadside assitance|apple music|disney bundle|vz hum|message block|vz navigator|famil locator|espn|apple arcade|verizon home device protect|care smart app|share name id|verizon famil money|verizon visa card|discover|youtube tv|smart locator hub|smart home|icloud|peloton|netflix|plus play|play|ae networks|amc|live nation veep|hulu|ww internation|sling tv|tech coach|call and message block|equipment coverage|mobile secure|paramount|iptv|number lock|verizon mobile protect|total equipment coverage|share number|walmart|hd streaming plus|gaming|xbox|wireless phonepProtect|nfl sunday ticket
)[a-z\s]{0,20}(remove|disconnect|discontinue|unsubscribe|cancel|delete|drop)",
Call Trouble,cannot,Make Calls,200,"(cannot|make|not able|unable|drop|not work|cannot connect|cannot make)[a-z\s]{0,20}(make call|call|connect call)|(make call|call|connect call)[a-z\s]{0,20}(cannot|make|not able|unable|drop|not work|cannot connect|cannot make)",
Call Trouble,make/not able/unable/drop/not work,call,,,
Call Trouble,cannot connect,call,,,
Call Trouble,unable,connect call,,,
Call Trouble,Cannot Make,Call,,,
Trouble messaging,cannot send/ cannot receive,text,100,"(cannot send|cannot receive|not get|cannot deliver|send|receive|forward|resend|does not support|ock|cannot lock|not deliver|problem|issue|fail|not work)[a-z\s]{0,20}(text|message|message plus|sms|imessage)|(text|message|message plus|sms|imessage)[a-z\s]{0,20}(cannot send|cannot receive|not get|cannot deliver|send|receive|forward|resend|does not support|ock|cannot lock|not deliver|problem|issue|fail|not work)",
Trouble messaging,cannot send/ cannot receive,message,,,
Trouble messaging,cannot send/ cannot receive,message plus,,,
Trouble messaging,not getting,Message,,,
Trouble messaging,cannot send/ cannot receive,SMS,,,
Trouble messaging,cannot send/ cannot receive,Imessage,,,
Trouble messaging,cannot deliver,Message,,,
Trouble messaging,send/received/receive/forwarding/resend,Message,,,
Trouble messaging,send/received/receive/forwarding/resend,Text,,,
Trouble messaging,does not support/ock/send/cannot lock/not delivered/receive,Message,,,
Trouble messaging,problem/issue/fail,Message,,,
Trouble messaging,problem/issue/fail,text,,,
Trouble messaging,problem/issue/fail,SMS,,,
Trouble messaging,issue/not working/problem,text,,,
Trouble messaging,issue/not working/problem,Message,,,
activation issue,assist/trouble/issue/problem,activation,100,"(assist|trouble|issue|problem|failure|error|fallout|try to activate|trouble activate|help)[a-z\s]{0,20}(activate|activate trouble|phone)|(activate|activate trouble|phone)[a-z\s]{0,20}(assist|trouble|issue|problem|failure|error|fallout|try to activate|trouble activate|help)",
activation issue,assist/trouble/issue/problem,activating trouble,,,
activation issue,failure/issues/error/fallout/trouble/problem,activation,,,
activation issue,trying to activate,new phone,,,
activation issue,trouble activating,phone,,,
activation issue,trouble activating,new phone,,,
activation issue,help,activation,,,
Bill Error/Issues,error/Issue,Bill,200,"(error|issue|wrong|charge incorrect|incorrect|should not charge|mistak bill|fail|problem|trouble|failure)[a-z\s]{0,20}(bill|charg|charg incorrect|bill charg|should not charg|mistake bill)|(bill|charge|charge incorrect|bill charge|should not charge|mistak bill)[a-z\s]{0,20}(error|issue|wrong|charge incorrect|incorrect|should not charge|mistake bill|fail|problem|trouble|failure)",
Bill Error/Issues,Wrong,Charges,,,
Bill Error/Issues,charged incorrectly,charged incorrectly,,,
Bill Error/Issues,incorrect,bill Charge,,,
Bill Error/Issues,incorrect,charges,,,
Bill Error/Issues,should not charge,should not charge,,,
Bill Error/Issues,mistake bill,mistake bill,,,
Bill Error/Issues,error/fail/issue/problem/failure/trouble,bill,,,
Setup/ Activate Phone,activate,new device,200,"(activat|setup| set up |add)[a-z\s]{0,20}(phone|number|device)|(phone|number|device)[a-z\s]{0,20}(activat|setup| set up |add)",
Setup/ Activate Phone,activate,new phone,,,
Setup/ Activate Phone,setup,phone,,,
Setup/ Activate Phone,Activate,Number,,,
Setup/ Activate Phone,setup/add/activate,device,,,
Setup/ Activate Phone,setup/add/activate,#devicename,,,
Setup/ Activate Phone,setup/add/activate,# devicename,,,